X,Y,Z
 -1,  2,  0
 -2,  2,  0
 -3,  2,  0
 -4,  2,  0
 -5,  2,  0
 -6,  2,  0
 -7,  2,  0
 -8,  2,  0
 -9,  2,  0
-10,  2,  0
-11,  3,  0
  9,-10,  0
  3,  3,  0
  9, -9,  0
-11,  4,  0
 10, -9,  0
 -7,-11,  0
  3,  4,  0
-11,  5,  0
  4,  4,  0
 11, -8,  0
  4,  5,  0
-10,  5,  0
-10,  6,  0
 -5,-10,  0
 12, -7,  0
  5,  6,  0
-10,  7,  0
-10,  8,  0
 13, -6,  0
  5,  7,  0
 -9,  8,  0
  6,  7,  0
 -9,  9,  0
 14, -5,  0
  6,  8,  0
 -9, 10,  0
 15, -5,  0
  7,  9,  0
 -9, 11,  0
 15, -4,  0
 -8, 11,  0
 -3, -5,  0
 -8, 12,  0
 16, -4,  0
  8, 10,  0
 16, -3,  0
 -8, 13,  0
 17, -3,  0
  8, 11,  0
 -7, 14,  0
 18, -2,  0
  9, 12,  0
 -1, -2,  0
 -7, 15,  0
 19, -1,  0
  9, 13,  0
 10, 13,  0
 -7, 16,  0
 19,  0,  0
 -6, 17,  0
 20,  0,  0
 18,  0,  0
 17,  0,  0
 16,  0,  0
 15,  0,  0
 14,  0,  0
 13,  0,  0
 12,  0,  0
 11,  0,  0
 10,  0,  0
  9,  0,  0
  8,  0,  0
  7,  0,  0
  6,  0,  0
  5,  0,  0
  2,  0,  0
  1,  0,  0
  0,  0,  0
 19,  1,  0
  0,  1,  0
 18,  1,  0
 18,  2,  0
  0,  3,  0
 -1,  3,  0
 17,  3,  0
 -1,  4,  0
 17,  4,  0
 -1,  5,  0
 -2,  5,  0
 16,  5,  0
 -2,  6,  0
 -2,  7,  0
 16,  6,  0
 15,  6,  0
 -3,  8,  0
 15,  7,  0
 -3,  9,  0
 14,  8,  0
 -3, 10,  0
 -4, 11,  0
 14,  9,  0
 13,  9,  0
 -4, 12,  0
 13, 10,  0
 -4, 13,  0
 12, 11,  0
 -5, 13,  0
 -5, 14,  0
 12, 12,  0
 -5, 15,  0
 11, 12,  0
 11, 13,  0
 -6, 16,  0
 11, 14,  0
 10, 14,  0
  9, 14,  0
  8, 14,  0
  7, 14,  0
  7, 15,  0
  6, 15,  0
  5, 15,  0
  4, 15,  0
  3, 15,  0
  2, 15,  0
  2, 16,  0
  1, 16,  0
  0, 16,  0
 -1, 16,  0
 -2, 16,  0
 -2, 17,  0
 -3, 17,  0
 -4, 17,  0
 -5, 17,  0
 38,-25,  0
 37,-26,  0
 36,-26,  0
 35,-27,  0
 34,-27,  0
 33,-28,  0
 32,-28,  0
 32,-29,  0
 31,-29,  0
 30,-29,  0
 30,-30,  0
 29,-30,  0
 28,-30,  0
 27,-31,  0
 26,-32,  0
 25,-32,  0
 24,-32,  0
 24,-33,  0
 23,-33,  0
 22,-34,  0
 21,-34,  0
 20,-35,  0
